"Family","taxon_beta","BDI_category_antidepressant_uselow+yes_beta","BDI_category_antidepressant_usehigh+no_beta","BDI_category_antidepressant_usehigh+yes_beta","taxon_se","BDI_category_antidepressant_uselow+yes_se","BDI_category_antidepressant_usehigh+no_se","BDI_category_antidepressant_usehigh+yes_se","taxon_W","BDI_category_antidepressant_uselow+yes_W","BDI_category_antidepressant_usehigh+no_W","BDI_category_antidepressant_usehigh+yes_W","taxon_p_val","BDI_category_antidepressant_uselow+yes_p_val","BDI_category_antidepressant_usehigh+no_p_val","BDI_category_antidepressant_usehigh+yes_p_val","taxon_q_val","BDI_category_antidepressant_uselow+yes_q_val","BDI_category_antidepressant_usehigh+no_q_val","BDI_category_antidepressant_usehigh+yes_q_val","taxon_diff_abn","BDI_category_antidepressant_uselow+yes_diff_abn","BDI_category_antidepressant_usehigh+no_diff_abn","BDI_category_antidepressant_usehigh+yes_diff_abn"
"1","fbbeae3dceada6928b2cdc472f5d9901",0.568869457217494,1.08018105903711,-0.116698840747624,"fbbeae3dceada6928b2cdc472f5d9901",0.854272877827116,1.41290774513424,0.817787429034557,"fbbeae3dceada6928b2cdc472f5d9901",0.665910708372764,0.76450926308319,-0.142700702657404,"fbbeae3dceada6928b2cdc472f5d9901",0.505468175510693,0.444563818704942,0.886526561757691,"fbbeae3dceada6928b2cdc472f5d9901",0.770779853873834,0.687053174362184,0.92793108026573,"fbbeae3dceada6928b2cdc472f5d9901",FALSE,FALSE,FALSE
"2","6c5d1b5e9f8130357774ec6cbdd614da",1.43419846792041,0.206473094491061,0.050584691387811,"6c5d1b5e9f8130357774ec6cbdd614da",0.925318835923152,0.79374501191432,0.559267169199196,"6c5d1b5e9f8130357774ec6cbdd614da",1.54995058161717,0.260125218290314,0.0904481689140492,"6c5d1b5e9f8130357774ec6cbdd614da",0.121153377759883,0.794767185944844,0.92793108026573,"6c5d1b5e9f8130357774ec6cbdd614da",0.40452516606117,0.931796011107749,0.92793108026573,"6c5d1b5e9f8130357774ec6cbdd614da",FALSE,FALSE,FALSE
"3","e8d0f444dc3a43708bc843fd8472b381",-0.366018481909076,-2.75198052592051,0.813572810396883,"e8d0f444dc3a43708bc843fd8472b381",0.669053688547879,0.52646228793995,0.84715058720406,"e8d0f444dc3a43708bc843fd8472b381",-0.547068924623204,-5.2273079933019,0.96036386291368,"e8d0f444dc3a43708bc843fd8472b381",0.584331380609003,1.71995860123837e-07,0.336872118831755,"e8d0f444dc3a43708bc843fd8472b381",0.789067245717901,5.84785924421046e-06,0.796332912903406,"e8d0f444dc3a43708bc843fd8472b381",FALSE,TRUE,FALSE
"4","7a6db5f059c69a310d7c97e1b488fe74",-0.224841633440648,-1.23695684291474,-0.0480074861179487,"7a6db5f059c69a310d7c97e1b488fe74",0.393467626666476,0.668323551743466,0.505790803994367,"7a6db5f059c69a310d7c97e1b488fe74",-0.571436169591751,-1.85083533220978,-0.0949156958545322,"7a6db5f059c69a310d7c97e1b488fe74",0.567704016964713,0.0641932463638856,0.924381789316429,"7a6db5f059c69a310d7c97e1b488fe74",0.789067245717901,0.455775048987847,0.92793108026573,"7a6db5f059c69a310d7c97e1b488fe74",FALSE,FALSE,FALSE
"5","a0f9d2150e3f8419a6ade2e296eafb5f",-0.0976019157825924,-1.39574634688851,0.251669691040834,"a0f9d2150e3f8419a6ade2e296eafb5f",0.644323134040946,0.963014370510807,0.85113452643783,"a0f9d2150e3f8419a6ade2e296eafb5f",-0.151479763221399,-1.4493515254068,0.295687324651395,"a0f9d2150e3f8419a6ade2e296eafb5f",0.879597273233628,0.147239438611181,0.767468878041844,"a0f9d2150e3f8419a6ade2e296eafb5f",0.879597273233628,0.556237879197796,0.92793108026573,"a0f9d2150e3f8419a6ade2e296eafb5f",FALSE,FALSE,FALSE
"6","1bf54441e8be15a502162eb368138b5e",-0.210727764429633,-0.878433363135671,0.468777245846367,"1bf54441e8be15a502162eb368138b5e",0.751740290969686,0.749890873288689,0.763267235222146,"1bf54441e8be15a502162eb368138b5e",-0.280319901648228,-1.17141492772575,0.614171844688094,"1bf54441e8be15a502162eb368138b5e",0.779232083314002,0.241432034846343,0.539101776556663,"1bf54441e8be15a502162eb368138b5e",0.835055560857191,0.628164885336888,0.796332912903406,"1bf54441e8be15a502162eb368138b5e",FALSE,FALSE,FALSE
"7","19563b70bb3469c665c888e4685e7f99",0.420589646213519,-0.359906148890252,0.0904068644100955,"19563b70bb3469c665c888e4685e7f99",0.372986834018314,0.402727990401882,0.366708406284209,"19563b70bb3469c665c888e4685e7f99",1.12762598529917,-0.893670560447269,0.246536111146653,"19563b70bb3469c665c888e4685e7f99",0.25947790770924,0.371498181230247,0.805267254230052,"19563b70bb3469c665c888e4685e7f99",0.592689948865165,0.628164885336888,0.92793108026573,"19563b70bb3469c665c888e4685e7f99",FALSE,FALSE,FALSE
"8","ec65ab01e974afdd946f7c025b3ceba5",-0.667412223002146,-0.864614335567279,0.57007530655493,"ec65ab01e974afdd946f7c025b3ceba5",0.441802536395783,0.786178047320341,0.442875949570308,"ec65ab01e974afdd946f7c025b3ceba5",-1.51065729148339,-1.09976911529683,1.28721215750829,"ec65ab01e974afdd946f7c025b3ceba5",0.13087578901979,0.271432732137941,0.198020350902448,"ec65ab01e974afdd946f7c025b3ceba5",0.40452516606117,0.628164885336888,0.796332912903406,"ec65ab01e974afdd946f7c025b3ceba5",FALSE,FALSE,FALSE
"9","a965d63a2b3f783b281a48f774847f29",0.699140612940384,0.587690905545652,-0.777325689700696,"a965d63a2b3f783b281a48f774847f29",0.668813503141761,0.58881898678568,0.355785072088194,"a965d63a2b3f783b281a48f774847f29",1.04534464339634,0.998084162934034,-2.18481816884102,"a965d63a2b3f783b281a48f774847f29",0.295863711399021,0.318238548965204,0.0289021813400064,"a965d63a2b3f783b281a48f774847f29",0.628710386722919,0.628164885336888,0.491337082780109,"a965d63a2b3f783b281a48f774847f29",FALSE,FALSE,FALSE
"10","57188cc28844564b611d3dd0d6e30de7",0.542722753712437,-0.292586666416268,-0.407809947858837,"57188cc28844564b611d3dd0d6e30de7",0.561167464001516,0.760342310968913,0.402572879877842,"57188cc28844564b611d3dd0d6e30de7",0.967131540097574,-0.384809134248259,-1.01300899350841,"57188cc28844564b611d3dd0d6e30de7",0.333478280204627,0.700378831147652,0.31105586519426,"57188cc28844564b611d3dd0d6e30de7",0.663619275121993,0.873563813701679,0.796332912903406,"57188cc28844564b611d3dd0d6e30de7",FALSE,FALSE,FALSE
"11","a75f6c6ef715f88994d61a440132c65b",1.4760102941005,1.02800776027931,-0.393932938274122,"a75f6c6ef715f88994d61a440132c65b",0.462720657359719,0.594993299140651,0.642221829617603,"a75f6c6ef715f88994d61a440132c65b",3.18985174018943,1.7277635929078,-0.61339076329542,"a75f6c6ef715f88994d61a440132c65b",0.0014234579899138,0.0840306170780269,0.539617992022269,"a75f6c6ef715f88994d61a440132c65b",0.0241987858285347,0.455775048987847,0.796332912903406,"a75f6c6ef715f88994d61a440132c65b",TRUE,FALSE,FALSE
"12","83713a3eb71b0859dee317c4661550f8",-0.529260789684138,-0.540111046089551,-0.56388077840691,"83713a3eb71b0859dee317c4661550f8",0.609037683351168,1.02158321401499,0.628074799892567,"83713a3eb71b0859dee317c4661550f8",-0.869011563901818,-0.528700000822084,-0.897792394318897,"83713a3eb71b0859dee317c4661550f8",0.384840805760611,0.597013576622451,0.36929624022513,"83713a3eb71b0859dee317c4661550f8",0.669825954377077,0.873563813701679,0.796332912903406,"83713a3eb71b0859dee317c4661550f8",FALSE,FALSE,FALSE
"13","c00514d54b15725f03c323c54796a7c0",-0.813185177867488,-0.76626250110637,0.0918297359312332,"c00514d54b15725f03c323c54796a7c0",0.405053651605191,0.736813315370394,0.601049444718703,"c00514d54b15725f03c323c54796a7c0",-2.00759868389017,-1.0399683137121,0.152782332199326,"c00514d54b15725f03c323c54796a7c0",0.044685954539602,0.298354622164065,0.878569931010153,"c00514d54b15725f03c323c54796a7c0",0.303864490869293,0.628164885336888,0.92793108026573,"c00514d54b15725f03c323c54796a7c0",FALSE,FALSE,FALSE
"14","85c51ab58e3beec0355a935d17f0758e",1.20127149295037,0.103136249058484,-0.0705687582127566,"85c51ab58e3beec0355a935d17f0758e",0.47940088014789,0.573880507810013,0.466727064973797,"85c51ab58e3beec0355a935d17f0758e",2.50577656966293,0.179717288973731,-0.151199198650968,"85c51ab58e3beec0355a935d17f0758e",0.0122182800982853,0.857374519799401,0.879818582412,"85c51ab58e3beec0355a935d17f0758e",0.103855380835425,0.947578302713942,0.92793108026573,"85c51ab58e3beec0355a935d17f0758e",FALSE,FALSE,FALSE
"15","a0ac269acfcd16c66700762ee6340b07",-0.719277543876689,-0.576116785526198,-0.352982786332304,"a0ac269acfcd16c66700762ee6340b07",0.450837925917324,0.618138470658108,0.559326826357058,"a0ac269acfcd16c66700762ee6340b07",-1.59542377099968,-0.932018977742688,-0.631085028821717,"a0ac269acfcd16c66700762ee6340b07",0.110617503828532,0.351326717860607,0.527984929529741,"a0ac269acfcd16c66700762ee6340b07",0.40452516606117,0.628164885336888,0.796332912903406,"a0ac269acfcd16c66700762ee6340b07",FALSE,FALSE,FALSE
"16","4c089330a0f8ccdd7dd92492808e9247",-0.261756648821775,0.236765157559063,0.147495017273898,"4c089330a0f8ccdd7dd92492808e9247",0.408246143661367,0.255114020112575,0.28832517289707,"4c089330a0f8ccdd7dd92492808e9247",-0.64117359805093,0.928075836265623,0.511557890668648,"4c089330a0f8ccdd7dd92492808e9247",0.521409901149946,0.353368232913232,0.608960462808487,"4c089330a0f8ccdd7dd92492808e9247",0.770779853873834,0.628164885336888,0.796332912903406,"4c089330a0f8ccdd7dd92492808e9247",FALSE,FALSE,FALSE
"17","0bc4e35da130d9cb9fc1090c80011153",0.65028189517171,-0.429096060281962,0.250558647092956,"0bc4e35da130d9cb9fc1090c80011153",0.361368052823491,0.428213487709978,0.299097918262697,"0bc4e35da130d9cb9fc1090c80011153",1.79950023277054,-1.00206105738683,0.837714446654529,"0bc4e35da130d9cb9fc1090c80011153",0.071939587131469,0.31631410464522,0.402191097796294,"0bc4e35da130d9cb9fc1090c80011153",0.349420851781421,0.628164885336888,0.796332912903406,"0bc4e35da130d9cb9fc1090c80011153",FALSE,FALSE,FALSE
"18","76d6be90e19a660c9a84b35fa31d801c",-0.0715467275336906,-0.513836415887477,0.436216472926624,"76d6be90e19a660c9a84b35fa31d801c",0.349105478296183,0.306676341418749,0.356371385240634,"76d6be90e19a660c9a84b35fa31d801c",-0.204943010011977,-1.6755006711974,1.22405022118169,"76d6be90e19a660c9a84b35fa31d801c",0.837616651216734,0.0938360394974979,0.220933282782049,"76d6be90e19a660c9a84b35fa31d801c",0.862998973980877,0.455775048987847,0.796332912903406,"76d6be90e19a660c9a84b35fa31d801c",FALSE,FALSE,FALSE
"19","b2282677ff1ba19e9700383f454417bd",-1.46365804437724,-1.29618212827554,-0.522628756972533,"b2282677ff1ba19e9700383f454417bd",0.850147702391943,1.48647957523146,0.985784970222034,"b2282677ff1ba19e9700383f454417bd",-1.7216514733371,-0.871981122292729,-0.530165069218715,"b2282677ff1ba19e9700383f454417bd",0.0851326728271994,0.383218676136846,0.595997487456651,"b2282677ff1ba19e9700383f454417bd",0.361813859515597,0.628164885336888,0.796332912903406,"b2282677ff1ba19e9700383f454417bd",FALSE,FALSE,FALSE
"20","76aa915543cd876d620ebeafeb9fd767",0.196735833897521,0.216619877443161,0.330938963699504,"76aa915543cd876d620ebeafeb9fd767",0.591146291685128,0.47796917686351,0.569346858959674,"76aa915543cd876d620ebeafeb9fd767",0.332803971985857,0.453208884440304,0.581260717419614,"76aa915543cd876d620ebeafeb9fd767",0.739282259785333,0.650398335564158,0.561064751520679,"76aa915543cd876d620ebeafeb9fd767",0.835055560857191,0.873563813701679,0.796332912903406,"76aa915543cd876d620ebeafeb9fd767",FALSE,FALSE,FALSE
"21","3d514b698192fb4c2a0445c3498b2cfb",0.331920479843297,-0.0122369721537312,0.395215482697775,"3d514b698192fb4c2a0445c3498b2cfb",0.356131440465417,0.228791196593066,0.372902356425167,"3d514b698192fb4c2a0445c3498b2cfb",0.932016784054563,-0.0534853278270849,1.05983637777598,"3d514b698192fb4c2a0445c3498b2cfb",0.351327851535173,0.957345220613985,0.289219043957443,"3d514b698192fb4c2a0445c3498b2cfb",0.663619275121993,0.957345220613985,0.796332912903406,"3d514b698192fb4c2a0445c3498b2cfb",FALSE,FALSE,FALSE
"22","6e373fe39ea68760cf9b2bf171476a55",1.12182595576934,0.374437597002175,0.455250154467549,"6e373fe39ea68760cf9b2bf171476a55",0.605575944263672,0.919581296800666,0.657706925447512,"6e373fe39ea68760cf9b2bf171476a55",1.85249425178766,0.407182701850167,0.692177833094568,"6e373fe39ea68760cf9b2bf171476a55",0.0639548822278865,0.6838738054613,0.488825657599191,"6e373fe39ea68760cf9b2bf171476a55",0.349420851781421,0.873563813701679,0.796332912903406,"6e373fe39ea68760cf9b2bf171476a55",FALSE,FALSE,FALSE
"23","8b5a8533bda75eff587881ff530f15ec",-0.97355733373006,-1.14936477240456,-0.379307369379926,"8b5a8533bda75eff587881ff530f15ec",0,0,0.522729080921095,"8b5a8533bda75eff587881ff530f15ec",-2.84905371223142,-3.97976483389164,-0.725628979186605,"8b5a8533bda75eff587881ff530f15ec",0,0,0.468066250813934,"8b5a8533bda75eff587881ff530f15ec",0,0,0.796332912903406,"8b5a8533bda75eff587881ff530f15ec",TRUE,TRUE,FALSE
"24","79a123f051e7c2965a46226b1d95246e",1.11215133999933,0.0485007839935174,0.302205912720179,"79a123f051e7c2965a46226b1d95246e",0.292321663049249,0.283092755207794,0.510110677725378,"79a123f051e7c2965a46226b1d95246e",3.80454643148346,0.171324709309206,0.592432046448701,"79a123f051e7c2965a46226b1d95246e",0.000142064263305974,0.863968452474476,0.553561312224607,"79a123f051e7c2965a46226b1d95246e",0.00483018495240312,0.947578302713942,0.796332912903406,"79a123f051e7c2965a46226b1d95246e",TRUE,FALSE,FALSE
"25","4c8288bfbd76958c0c094d87b97650f8",-0.866406839342845,-1.18732577907759,0.697992487657123,"4c8288bfbd76958c0c094d87b97650f8",0.638500827229155,0.681481783288271,0.817384300125274,"4c8288bfbd76958c0c094d87b97650f8",-1.35693925895557,-1.74227075204935,0.85393429693982,"4c8288bfbd76958c0c094d87b97650f8",0.174800511286446,0.0814610787535994,0.393141395043067,"4c8288bfbd76958c0c094d87b97650f8",0.495268115311597,0.455775048987847,0.796332912903406,"4c8288bfbd76958c0c094d87b97650f8",FALSE,FALSE,FALSE
"26","1d25e5714547bb8a8f93b8364d36889e",0.21978732731139,0.404288659907747,-0.552296920753034,"1d25e5714547bb8a8f93b8364d36889e",0.451771882585013,0.468317601409225,0.757073379892269,"1d25e5714547bb8a8f93b8364d36889e",0.486500678293166,0.863278806286999,-0.729515705375384,"1d25e5714547bb8a8f93b8364d36889e",0.626612224540686,0.387984193884548,0.465686264348052,"1d25e5714547bb8a8f93b8364d36889e",0.789067245717901,0.628164885336888,0.796332912903406,"1d25e5714547bb8a8f93b8364d36889e",FALSE,FALSE,FALSE
"27","059d6e79cba765d062053442b8ada21c",0.669521947992129,1.56082561486192,-1.19814049717396,"059d6e79cba765d062053442b8ada21c",0.785493567983447,0.435505726408959,0.699765404517597,"059d6e79cba765d062053442b8ada21c",0.852358281826489,3.5839382130104,-1.71220310326706,"059d6e79cba765d062053442b8ada21c",0.394015267280634,0.000338452180792023,0.0868592457653462,"059d6e79cba765d062053442b8ada21c",0.669825954377077,0.0038357913823096,0.635794589066139,"059d6e79cba765d062053442b8ada21c",FALSE,TRUE,FALSE
"28","855166a7ea9905b7590e5e5fb7da7866",-0.113660573316332,0.68366654469594,-0.654212282145094,"855166a7ea9905b7590e5e5fb7da7866",0.30242540821699,0.446576192951057,0.390057209492381,"855166a7ea9905b7590e5e5fb7da7866",-0.375830106294443,1.53090683177298,-1.67722135682733,"855166a7ea9905b7590e5e5fb7da7866",0.707043204296106,0.12579242054362,0.0934992042744321,"855166a7ea9905b7590e5e5fb7da7866",0.835055560857191,0.534617787310385,0.635794589066139,"855166a7ea9905b7590e5e5fb7da7866",FALSE,FALSE,FALSE
"29","d71fe67e73a45e78b36ab2586bb5dcc8",-0.18497060747792,-0.0858199174101975,-0.385661420077415,"d71fe67e73a45e78b36ab2586bb5dcc8",0.361257249677671,0.217697839701624,0.249929397262852,"d71fe67e73a45e78b36ab2586bb5dcc8",-0.512019087901927,-0.394215751188996,-1.54308146340949,"d71fe67e73a45e78b36ab2586bb5dcc8",0.608637650617731,0.693421757591476,0.122811011658835,"d71fe67e73a45e78b36ab2586bb5dcc8",0.789067245717901,0.873563813701679,0.695929066066734,"d71fe67e73a45e78b36ab2586bb5dcc8",FALSE,FALSE,FALSE
"30","0b2e7a7da00f71987193e385a9a4a4d1",-0.0934726309280281,-0.227065431457832,0.170257903298035,"0b2e7a7da00f71987193e385a9a4a4d1",0.344163804488573,0.632048017235127,0.330475378209235,"0b2e7a7da00f71987193e385a9a4a4d1",-0.271593438092447,-0.359253451108229,0.515190887202009,"0b2e7a7da00f71987193e385a9a4a4d1",0.78593464551265,0.719405493636677,0.60641963633905,"0b2e7a7da00f71987193e385a9a4a4d1",0.835055560857191,0.873563813701679,0.796332912903406,"0b2e7a7da00f71987193e385a9a4a4d1",FALSE,FALSE,FALSE
"31","7888dc681f2841bbc77d1f456dbda3d9",0.317719166090294,0.0290143018087037,-1.26109063751502,"7888dc681f2841bbc77d1f456dbda3d9",0.448044889407635,0.300366151372982,0.534996556270131,"7888dc681f2841bbc77d1f456dbda3d9",0.709123513294291,0.096596442961627,-2.35719393468071,"7888dc681f2841bbc77d1f456dbda3d9",0.478247832700758,0.923046881391367,0.0184136275061852,"7888dc681f2841bbc77d1f456dbda3d9",0.770779853873834,0.957345220613985,0.491337082780109,"7888dc681f2841bbc77d1f456dbda3d9",FALSE,FALSE,FALSE
"32","9691201d8e16b0f5dea56c10b06a64bb",0.266867784133542,0.212992282143291,0.087584769944682,"9691201d8e16b0f5dea56c10b06a64bb",0.237659883670447,0.218605339807502,0.194348791693015,"9691201d8e16b0f5dea56c10b06a64bb",1.12289789935097,0.974323327741426,0.450657651028913,"9691201d8e16b0f5dea56c10b06a64bb",0.261480859793455,0.329896025465485,0.652236308915817,"9691201d8e16b0f5dea56c10b06a64bb",0.592689948865165,0.628164885336888,0.821334611227325,"9691201d8e16b0f5dea56c10b06a64bb",FALSE,FALSE,FALSE
"33","a49ea569715664c78018691088f7aaac",-0.236258787233205,0.766348453882505,-0.783633362758743,"a49ea569715664c78018691088f7aaac",0.653911526715787,0.776203496199683,0.457676983902111,"a49ea569715664c78018691088f7aaac",-0.361300845115537,0.987303532687719,-1.71219744562542,"a49ea569715664c78018691088f7aaac",0.717874562016518,0.323493859350166,0.0868602880352041,"a49ea569715664c78018691088f7aaac",0.835055560857191,0.628164885336888,0.635794589066139,"a49ea569715664c78018691088f7aaac",FALSE,FALSE,FALSE
"34","4a21bd45b5ff48f40bbcadf6930fc3ee",-0.299677269393185,0.0222276143613641,-0.1366165240677,"4a21bd45b5ff48f40bbcadf6930fc3ee",0.245264875737369,0.255014926596995,0.237487145559702,"4a21bd45b5ff48f40bbcadf6930fc3ee",-1.22185155331447,0.08716201305538,-0.575258605031979,"4a21bd45b5ff48f40bbcadf6930fc3ee",0.221763768931806,0.930542733590297,0.565116412851717,"4a21bd45b5ff48f40bbcadf6930fc3ee",0.579997549513954,0.957345220613985,0.796332912903406,"4a21bd45b5ff48f40bbcadf6930fc3ee",FALSE,FALSE,FALSE
